asset_id,image_index,heading,pitch,altitude,captured_at,image_key,h3_index,camera_position,footprint,category
4172200,4,135.4,-59.9,80.0,2024-04-15 15:20:06.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0017.jpg,8912d1686cfffff,POINT(-119.486180778 49.863540583),"POLYGON((-119.485619 49.863852,-119.486675 49.86318,-119.485927 49.862098,-119.48395 49.863355,-119.485619 49.863852))",Construction
4172198,22,179.7,-89.9,80.0,2024-04-15 15:20:32.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0018.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.486936 49.863811,-119.488608 49.863805,-119.488603 49.863052,-119.486928 49.863058,-119.486936 49.863811))",Construction
4172198,7,179.1,-60.0,80.0,2024-04-15 15:20:34.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0019.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.487018 49.863412,-119.488501 49.863397,-119.489117 49.862285,-119.486349 49.862313,-119.487018 49.863412))",Construction
4172198,2,179.2,-29.9,80.0,2024-04-15 15:20:36.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0020.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.486891 49.863021,-119.488608 49.863005,-119.497296 49.853917,-119.477814 49.854092,-119.486891 49.863021))",Construction
4172198,6,224.9,-60.0,80.0,2024-04-15 15:20:38.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0021.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.487266 49.863076,-119.488316 49.863751,-119.489982 49.86326,-119.488021 49.862001,-119.487266 49.863076))",Construction
4172198,25,225.4,-29.9,80.0,2024-04-15 15:20:38.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0022.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.487621 49.862745,-119.488827 49.863533,-119.505016 49.861284,-119.491335 49.852342,-119.487621 49.862745))",Construction
4172198,11,270.6,-59.9,80.0,2024-04-15 15:20:40.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0023.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.487818 49.862957,-119.487802 49.863913,-119.489515 49.864341,-119.489544 49.862552,-119.487818 49.862957))",Construction
4172198,4,270.6,-29.9,80.0,2024-04-15 15:20:42.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0024.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.488425 49.862885,-119.488407 49.863992,-119.50229 49.869813,-119.502494 49.857254,-119.488425 49.862885))",Construction
4172198,14,314.7,-30.0,80.0,2024-04-15 15:20:44.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0025.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.488832 49.863339,-119.487624 49.864126,-119.49131 49.874533,-119.505015 49.865606,-119.488832 49.863339))",Construction
4172198,10,314.9,-60.0,80.0,2024-04-15 15:20:46.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0026.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.488319 49.863119,-119.487272 49.863796,-119.488033 49.86487,-119.489988 49.863606,-119.488319 49.863119))",Construction
4172198,15,359.9,-60.0,80.0,2024-04-15 15:20:48.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0027.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.488507 49.863465,-119.487023 49.863466,-119.486384 49.864573,-119.489152 49.864569,-119.488507 49.863465))",Construction
